sample,field,date,sampling.period,tillage,irrigation,fertilizer,crop_rotation,residue,cover_crop,clay,gwc,protozoa,BactSum,FungSum,FBRatio,GPosSum,GNegSum,ActSum,SapSum,AMF,total.fame,P,K,Mg,Ca,pH,CEC,S,B,Zn,Mn,Fe,Cu,OM,no3.ppm,nh4.ppm,total.N,original.field,year
BE 18,BE-2-18,6/12/18,18-Jun,no,no,no,yes,medium-high,no,28.5,15.46511628,0.743,32.489,23.754,0.731,18.162,3.977,10.35,20.905,2.849,107.8565218,97,1308,1598,4925,7.1,23.04,31,2.66,5.95,486,72,6.2,1.68,42.49,1.73,44.22,2,2018
BE 19,BE-2-18,6/12/18,18-Jun,no,no,no,yes,medium-high,no,28.5,13.74045802,0.967,38.618,24.471,0.634,21.274,4.531,12.813,21.861,2.61,120.5195956,134,1415,1659,5056,7.4,23.76,24,2.77,7.02,449,77,6.17,1.8,18.36,1.07,19.43,2,2018
BE 20,BE-2-18,6/12/18,18-Jun,no,no,no,yes,medium-high,no,28.5,21.40430351,1.474,41.172,29.791,0.724,22.829,4.664,13.679,26.419,3.372,137.7027463,195,1569,1579,5201,7.6,23.99,24,2.93,8.38,463,83,6.39,1.76,14.63,1.29,15.92,2,2018
EE 21,EE-1-18,6/12/18,18-Jun,no,yes,no,yes,medium-high,no,31.1,16.97038724,1.196,50.04,38.325,0.766,27.645,5.912,16.483,32.827,5.498,164.789462,99,1378,1541,4854,7.6,22.72,44,3.28,3.48,389,74,4.37,1.6,31.09,4.08,35.17,1,2018
EE 22,EE-1-18,6/12/18,18-Jun,no,yes,no,yes,medium-high,no,31.1,13.76734258,1.658,57.577,48.761,0.847,32.406,6.804,18.367,43.706,5.055,201.5956418,110,1369,1553,4805,7.3,22.63,39,2.89,4.82,406,74,4.74,1.56,29.07,1.99,31.06,1,2018
EE 23,EE-1-18,6/12/18,18-Jun,no,yes,no,yes,medium-high,no,31.1,18.37655017,1.483,55.015,36.707,0.667,29.706,6.652,18.657,32.188,4.519,175.2817208,132,1395,1657,4917,7.7,22.98,29,3.5,4.58,390,70,4.66,1.61,15.72,1.89,17.61,1,2018
EE 24,EE-1-18,6/12/18,18-Jun,no,yes,no,yes,medium-high,no,31.1,22.35421166,2.059,62.91,57.66,0.917,33.933,8.017,20.96,50.592,7.068,223.132429,93,1335,1469,8954,8.5,31.81,28,5.02,4.62,336,46,4.46,1.78,11.03,1.15,12.18,1,2018
BS 97,BS-1-18,6/12/18,18-Jun,no,yes,yes,no,none-low,no,28.8,14.56736035,2.47,46.005,42.488,0.924,24.869,5.03,16.106,38.147,4.341,164.7913528,26,1469,1422,5310,7.8,23.48,31,3.26,2.21,337,75,5.25,1.53,17.69,1.41,19.1,1,2018
BS 98,BS-1-18,6/12/18,18-Jun,no,yes,yes,no,none-low,no,28.8,15.84470094,1.951,51.072,44.168,0.865,28.03,5.406,17.636,38.307,5.861,179.4157318,23,1401,1403,5320,7.1,23.74,34,3.04,2.16,338,72,5.27,1.52,14.6,1.45,16.05,1,2018
BS 99,BS-1-18,6/12/18,18-Jun,no,yes,yes,no,none-low,no,28.8,19.14672216,1.763,37.738,30.475,0.808,20.134,4.295,13.309,25.843,4.632,126.7683513,21,1135,1422,5265,6.7,22.94,29,3.26,1.65,316,76,5.37,1.42,7.53,2.71,10.24,1,2018
BS 100,BS-1-18,6/12/18,18-Jun,no,yes,yes,no,none-low,no,28.8,14.1928494,1.526,50.766,62.435,1.23,28.037,5.312,17.417,51.425,11.01,194.1550546,17,1445,1432,5531,7.4,24.04,29,3.07,1.96,300,75,5.37,1.5,14.1,1.64,15.74,1,2018
BS 101,BS-2-18,6/12/18,18-Jun,no,yes,yes,yes,medium-high,no,34.8,21.47239264,3.485,49.646,55.787,1.124,24.472,6.13,19.044,38.065,17.722,175.7627251,11,1197,1989,10140,8.3,37.17,32,5.11,2.17,243,73,6.39,1.7,6.9,1.4,8.3,2,2018
BS 102,BS-2-18,6/12/18,18-Jun,no,yes,yes,yes,medium-high,no,34.8,21.1750306,2.377,49.545,40.103,0.809,24.122,6.722,18.701,30.84,9.263,156.2291626,19,1296,1687,6710,8.3,27.86,27,4.56,2.54,282,81,6.23,1.66,8.58,1.02,9.6,2,2018
BS 103,BS-2-18,6/12/18,18-Jun,no,yes,yes,yes,medium-high,no,34.8,18.21386604,1.612,39.39,44.159,1.121,18.763,5.636,14.991,37.317,6.842,140.7836761,37,1370,1447,9606,8.5,33.8,34,4.48,3.07,294,62,5.61,1.53,13.9,1.41,15.31,2,2018
BS 104,BS-2-18,6/12/18,18-Jun,no,yes,yes,yes,medium-high,no,34.8,20.23809524,2.471,46.598,59.304,1.273,23.317,6.352,16.929,47.881,11.423,183.6264665,32,1561,1896,6567,8.2,28.71,36,4.67,4.11,325,80,6.41,1.83,27.12,1.99,29.11,2,2018
EE 105,EE-2-18,6/12/18,18-Jun,no,yes,no,yes,medium-high,no,28.9,13.44902386,1.405,50.572,45.92,0.908,28.522,5.953,16.097,41.383,4.537,180.1200587,130,1404,1366,4348,7.7,20.36,29,2.72,4.86,440,102,4.63,1.52,15.81,1.6,17.41,2,2018
EE 106,EE-2-18,6/12/18,18-Jun,no,yes,no,yes,medium-high,no,28.9,8.681672026,1.786,53.109,48.41,0.912,30.426,6.462,16.221,43.596,4.814,192.1344916,114,1505,1371,4140,7.4,19.99,27,2.56,4.89,431,103,4.58,1.32,15.69,2.16,17.85,2,2018
EE 107,EE-2-18,6/12/18,18-Jun,no,yes,no,yes,medium-high,no,28.9,7.430997877,2.329,47.827,49.238,1.03,27.914,4.875,15.038,45.004,4.234,189.0004983,102,1419,1396,4368,7.5,20.55,30,2.79,4.26,442,100,4.74,1.35,19.11,1.76,20.87,2,2018
EE 108,EE-2-18,6/12/18,18-Jun,no,yes,no,yes,medium-high,no,28.9,8.198380567,2.459,46.893,42.348,0.903,25.444,5.84,15.609,38.574,3.774,164.0850292,117,1577,1379,4282,7.5,20.47,37,3,5.51,444,104,4.69,1.37,22.62,1.72,24.34,2,2018
BH 37,BH-1-18,6/13/18,18-Jun,yes,yes,yes,yes,medium-high,no,23.3,14.22319475,2.341,38.025,48.971,1.288,20.786,4.99,12.249,44.079,4.892,163.6752366,147,1789,1730,6421,8.2,27.55,53,5.88,8.93,263,82,4.59,1.61,37.55,0.98,38.53,1,2018
BH 38,BH-1-18,6/13/18,18-Jun,yes,yes,yes,yes,medium-high,no,23.3,14.97747748,1.693,38.234,51.412,1.345,21.315,5.123,11.796,45.802,5.61,164.8492639,147,1907,1597,6579,7.9,27.54,56,5.93,7.81,248,79,4.47,1.59,38.41,1.14,39.55,1,2018
BH 39,BH-1-18,6/13/18,18-Jun,yes,yes,yes,yes,medium-high,no,23.3,16.24588364,1.39,31.937,42.212,1.322,16.834,4.326,10.777,34.086,8.126,137.8709647,97,1542,1750,6208,8.3,26.38,96,5.85,7.37,258,86,4.95,1.38,22.65,1.23,23.88,1,2018
BH 40,BH-1-18,6/13/18,18-Jun,yes,yes,yes,yes,medium-high,no,23.3,16.0815402,1.442,51.044,53.359,1.045,26.984,6.904,17.156,47.952,5.407,197.4620167,171,2051,1979,5967,8.1,27.79,82,6.61,9.38,274,91,5.06,1.63,49.2,1.07,50.27,1,2018
BH 41,BH-2-18,6/13/18,18-Jun,minimal,yes,yes,no,none-low,no,12,9.785932722,0.678,31.689,33.601,1.06,18.268,4.103,9.318,30.194,3.407,134.2939355,295,1555,756,3259,7.3,14.89,70,3.16,10.29,194,107,2.78,0.92,32.79,1.63,34.42,2,2018
BH 42,BH-2-18,6/13/18,18-Jun,minimal,yes,yes,no,none-low,no,12,8.54978355,1.36,30.03,30.681,1.022,17.38,4.181,8.469,28.652,2.029,131.3955269,317,1393,677,3323,7,14.51,72,3.01,13.07,191,140,2.72,1.12,47.37,1.52,48.89,2,2018
BH 43,BH-2-18,6/13/18,18-Jun,minimal,yes,yes,no,none-low,no,12,8.033826638,1.64,26.37,29.247,1.109,15.295,3.855,7.22,27.351,1.896,123.9557296,303,1241,612,2766,6.5,12.65,52,1.94,8.21,165,146,2.95,0.79,30.86,1.26,32.12,2,2018
BH 44,BH-2-18,6/13/18,18-Jun,minimal,yes,yes,no,none-low,no,12,9.024896266,1.706,37.648,45.682,1.213,22.662,4.862,10.124,41.392,4.29,177.1104049,258,1317,650,3168,7,13.91,56,2.7,9.83,191,126,2.9,0.92,30.65,1.39,32.04,2,2018
BH 45,BH-3-18,6/13/18,18-Jun,minimal,yes,yes,no,none-low,yes,14.4,8.130081301,1.337,20.873,25.473,1.22,11.336,3.441,6.096,23.432,2.041,95.19843664,158,898,1478,2462,7.8,14.66,143,5.2,6.54,224,81,3.03,0.72,23.09,1.03,24.12,3,2018
BH 46,BH-3-18,6/13/18,18-Jun,minimal,yes,yes,no,none-low,yes,14.4,8.261287224,1.378,24.711,25.02,1.013,13.679,3.932,7.1,21.914,3.106,101.4750182,173,902,1413,2495,7.8,14.48,106,5,8.4,214,79,2.97,0.71,22.04,0.76,22.8,3,2018
BH 47,BH-3-18,6/13/18,18-Jun,minimal,yes,yes,no,none-low,yes,14.4,9.051724138,1.913,32.787,41.885,1.277,18.301,4.632,9.854,38.81,3.075,152.2185415,231,1079,1593,2841,8,16.32,132,6.16,13.35,199,81,2.91,0.84,42.33,0.96,43.29,3,2018
BH 48,BH-3-18,6/13/18,18-Jun,minimal,yes,yes,no,none-low,yes,14.4,9.2042186,1.025,26.865,24.841,0.925,14.276,4.464,8.125,22.379,2.462,103.4595751,216,1115,1674,2903,7.9,16.86,196,6.13,10.83,226,81,3.31,0.82,22.96,1.48,24.44,3,2018
TG 25,TG-1-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,no,26.9,29.54,1.124,34.217,38.966,1.139,18.771,4.028,11.418,34.052,4.914,148.1842008,122,1487,2031,4832,8.7,24.04,33,7.27,4.33,345,87,4.59,1.32,2.1,2.83,4.93,1,2018
TG 26,TG-1-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,no,26.9,22.25,1.556,34.218,33.693,0.985,17.461,4.596,12.161,26.698,6.995,131.7715003,132,1353,1932,4446,8.5,22.49,30,6.7,5.39,371,80,4.5,1.23,5.1,2.59,7.69,1,2018
TG 27,TG-1-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,no,26.9,22.79,1.45,25.924,32.436,1.251,13.629,3.16,9.135,24.075,8.361,108.0579752,100,1423,2059,4478,8.5,23.19,28,6.23,4.46,345,82,4.52,1.34,4.5,2.45,6.95,1,2018
TG 28,TG-1-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,no,26.9,24.04,2.262,54.16,79.221,1.463,31.055,6.217,16.888,68.17,11.051,251.6090727,81,1578,1879,4726,8.5,23.66,48,6.36,4.12,332,80,4.52,1.52,10.1,2.64,12.74,1,2018
TG 29,TG-2-18,8/1/18,18-Aug,yes,yes,yes,yes,none-low,no,27.2,12.99,3.146,50.834,57.195,1.125,27.366,6.932,16.536,47.935,9.26,200.3234981,61,1501,1990,4783,8.1,24.17,66,7.41,4.91,358,79,4.74,1.64,67.8,2.88,70.68,2,2018
TG 30,TG-2-18,8/1/18,18-Aug,yes,yes,yes,yes,none-low,no,27.2,12.11,1.679,46.113,51.094,1.108,25.186,6.502,14.425,46.78,4.314,175.2567579,118,1535,1973,4456,8.3,23.32,47,7.44,5.58,366,85,4.47,1.44,30.8,2.59,33.39,2,2018
TG 31,TG-2-18,8/1/18,18-Aug,yes,yes,yes,yes,none-low,no,27.2,15.77,1.888,40.699,46.173,1.134,22.407,5.563,12.729,40.381,5.792,160.7059358,173,1549,2076,4449,8.2,23.75,51,6.89,7.75,400,84,4.95,1.55,11.7,3.39,15.09,2,2018
TG 32,TG-2-18,8/1/18,18-Aug,yes,yes,yes,yes,none-low,no,27.2,10.89,1.877,49.169,55.366,1.126,27.245,6.508,15.416,50.508,4.858,190.7941437,137,1373,1824,4256,8.3,22.4,38,6.63,6.24,370,83,4.17,1.38,8.9,3.74,12.64,2,2018
TG 33,TG-3-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,30.7,17.35,1.77,51.197,55.917,1.092,27.905,7.597,15.695,48.884,7.033,199.360543,78,1903,2161,4874,8.3,25.22,35,7.9,6.77,318,76,4.64,1.68,19,2.98,21.98,3,2018
TG 34,TG-3-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,30.7,18,3.265,44.189,43.002,0.973,22.766,6.778,14.645,36.903,6.099,161.5652192,71,1751,2257,4940,8.4,25.99,30,9.14,6.07,345,75,4.64,1.58,7.7,2.42,10.12,3,2018
TG 35,TG-3-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,30.7,17.63,2.954,48.075,49.157,1.023,25.434,6.719,15.922,42.448,6.709,172.7305751,76,1767,2389,4997,8.1,26.71,38,7.78,5.29,356,79,5.22,1.69,31,3.03,34.03,3,2018
TG 36,TG-3-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,30.7,18.5,3.355,69.708,72.726,1.043,36.896,10.091,22.721,62.159,10.567,253.0197346,58,1959,2211,4948,8.2,27.69,31,7.97,4.96,332,70,5.09,1.72,15.3,2.71,18.01,3,2018
RN 49,RN-1-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,24.8,18.05,3.19,49.411,72.771,1.473,27.847,6.396,15.168,54.661,18.11,218.700458,58,1536,1755,4509,8.1,22.15,33,6.05,7.43,344,73,4.88,1.49,32,2.3,34.3,1,2018
RN 50,RN-1-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,24.8,18.01,2.16,53.351,76.661,1.437,29.56,7.296,16.495,57.912,18.749,233.3833755,39,1605,1765,4093,7.9,23.24,32,5.19,6.57,403,71,5.13,1.3,26,3.33,29.33,1,2018
RN 51,RN-1-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,24.8,19.05,2.548,53.333,65.756,1.233,29.891,6.781,16.661,52.215,13.541,212.3932459,52,1541,1653,4228,8,21.43,34,5.16,6.83,395,69,4.83,1.43,31.2,2.87,34.07,1,2018
RN 52,RN-1-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,24.8,18.86,3.282,73.545,94.537,1.285,42.419,9.258,21.868,79.079,15.458,303.9339283,49,1405,1672,4153,7.8,21.95,34,5.17,12.27,357,72,4.77,1.62,30.3,2.69,32.99,1,2018
RN 53,RN-2-18,8/1/18,18-Aug,minimal,yes,yes,no,none-low,yes,27.2,6.86,2.003,34.72,30.686,0.884,17.915,5.052,11.753,27.56,3.126,127.1713332,131,1174,1953,4882,8.1,25.04,119,7.19,2.43,348,86,5.75,1.26,17,2.93,19.93,2,2018
RN 54,RN-2-18,8/1/18,18-Aug,minimal,yes,yes,no,none-low,yes,27.2,7.72,1.188,27.259,23.995,0.88,14.17,3.702,9.387,21.051,2.944,97.41687285,105,1082,1951,4802,8.1,23.52,65,6.8,2.54,310,95,5.75,1.27,15,5.5,20.5,2,2018
RN 55,RN-2-18,8/1/18,18-Aug,minimal,yes,yes,no,none-low,yes,27.2,5.67,0.898,31.006,25.002,0.806,16.308,4.469,10.229,22.388,2.614,103.6486266,220,1177,1823,4462,7.9,21.85,74,5.9,3.6,325,98,5.28,1.15,20,5.4,25.4,2,2018
RN 56,RN-2-18,8/1/18,18-Aug,minimal,yes,yes,no,none-low,yes,27.2,7.3,0.577,33.059,32.97,0.997,17.606,4.642,10.811,29.591,3.379,121.93882,169,1292,1851,4866,8,24.73,30,5.55,3.75,342,94,5.28,1.21,5.8,3.82,9.62,2,2018
RN 57,RN-3-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,30.8,11.46,5.158,147.379,166.276,1.128,87.5,17.824,42.055,141.575,24.701,540.6328502,160,1838,2383,5502,8.1,28.44,30,6.22,16.76,315,74,4.83,2.32,19.5,3.61,23.11,3,2018
RN 58,RN-3-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,30.8,14.84,5.771,77.948,93.488,1.199,44.117,10.055,23.776,80.869,12.619,328.3014107,48,1561,2369,5105,8.1,28.23,25,5.68,9.19,340,80,5.19,1.81,4.72,3.28,8,3,2018
RN 59,RN-3-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,30.8,19.44,4.554,82.996,95.689,1.153,45.78,10.749,26.467,73.984,21.705,345.8481179,97,1641,2321,5421,8.2,27.32,25,5.91,11.28,322,74,4.79,2.01,13.2,2.97,16.17,3,2018
RN 60,RN-3-18,8/1/18,18-Aug,no,yes,yes,yes,medium-high,yes,30.8,22.88,4.184,73.984,90.604,1.225,41.511,9.455,23.018,77.013,13.591,315.8474293,82,1559,2286,5109,8.1,26.69,30,5.91,13.57,305,77,4.72,2.01,13.8,3.09,16.89,3,2018
MH 61,MH-1-18,8/1/18,18-Aug,minimal,no,yes,no,none-low,yes,21.2,5.263157895,0.568,23.554,21.905,0.93,12.61,3.031,7.913,20.141,1.764,87.38243792,116,941,726,3149,7.6,13.3,9,1.54,1.67,205,97,3.09,0.71,4.25,3.01,7.26,1,2018
MH 62,MH-1-18,8/1/18,18-Aug,minimal,no,yes,no,none-low,yes,21.2,3.842459174,0.785,33.44,32.488,0.972,18.609,4.381,10.45,29.925,2.563,121.3109407,144,1045,733,3285,6.9,14.6,9,1.57,1.9,212,96,3.16,0.78,1.2,3.32,4.52,1,2018
MH 63,MH-1-18,8/1/18,18-Aug,minimal,no,yes,no,none-low,yes,21.2,5.826271186,0.927,26.434,28.533,1.079,14.408,3.298,8.728,26.206,2.327,101.3889416,129,996,726,3321,7.6,14.6,9,1.39,1.8,204,94,3.2,0.76,9.02,2.77,11.79,1,2018
MH 65,MH-2-18,8/1/18,18-Aug,minimal,no,yes,no,none-low,yes,13,4.466019417,1.259,31.331,26.067,0.832,18.102,3.464,9.765,23.134,2.933,111.9959432,72,864,443,2109,7.3,9.82,13,1.17,1.73,110,90,1.87,0.59,9.94,3.06,13,2,2018
MH 66,MH-2-18,8/1/18,18-Aug,minimal,no,yes,no,none-low,yes,13,4.105263158,0.699,34.097,26.949,0.79,19.372,4.216,10.509,24.689,2.26,113.2998987,90,1287,661,2738,7.3,12.84,17,1.5,1.93,156,106,2.6,0.87,20.96,3.05,24.01,2,2018
MH 67,MH-2-18,8/1/18,18-Aug,minimal,no,yes,no,none-low,yes,13,7.258064516,1.324,35.311,32.408,0.918,20.041,4.425,10.845,28.417,3.991,127.4029193,113,1177,661,2962,7.6,13.66,15,1.75,2.55,148,101,2.53,0.91,11.82,2.74,14.56,2,2018
MH 68,MH-2-18,8/1/18,18-Aug,minimal,no,yes,no,none-low,yes,13,3.235591507,0.949,27.674,18.337,0.663,15.647,3.763,8.264,16.149,2.188,89.93759004,102,1162,677,3130,7.9,14.53,13,1.93,2.48,164,102,2.8,0.8,3.6,2.74,6.34,2,2018
MH 69,MH-3-18,8/1/18,18-Aug,minimal,no,yes,no,none-low,yes,10.8,3.608736942,0.556,25.1,17.549,0.699,13.676,2.811,8.613,15.236,2.313,76.24842577,27,840,369,2204,6.9,9.72,17,0.95,1.62,151,92,2.17,0.59,10.73,4.99,15.72,3,2018
MH 70,MH-3-18,8/1/18,18-Aug,minimal,no,yes,no,none-low,yes,10.8,2.887391723,0.465,26.395,20.676,0.783,14.821,2.762,8.812,18.712,1.964,85.70147793,37,852,385,2288,7.1,10.01,14,1.1,1.38,160,99,2.43,0.67,8.06,3.57,11.63,3,2018
MH 71,MH-3-18,8/1/18,18-Aug,minimal,no,yes,no,none-low,yes,10.8,1.45631068,0.462,25.364,15.675,0.618,13.704,3.67,7.99,13.762,1.913,79.8190402,43,891,362,2070,7,10.62,15,1.1,1.44,148,101,2.25,0.61,8.5,3.51,12.01,3,2018
MH 72,MH-3-18,8/1/18,18-Aug,minimal,no,yes,no,none-low,yes,10.8,1.384767557,0.523,20.683,17.133,0.828,11.967,2.697,6.019,14.977,2.156,70.15936965,107,853,336,1918,8,8.88,12,1.23,1.76,113,93,1.74,0.46,13.53,3.75,17.28,3,2018
CK 85,CK-1-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,36.8,17.62854145,2.486,83.49,79.056,0.947,45.701,11.839,25.95,72.806,6.25,312.2088085,315,1552,2203,5775,7.5,28.8,67,5.01,20.29,320,85,5.99,2.4,63.64,2.85,66.49,1,2018
CK 86,CK-1-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,36.8,17.55379388,3.221,54.34,51.196,0.942,29.385,7.934,17.021,46.469,4.727,204.3037882,75,1139,2032,5387,7.5,25.79,23,4.28,9.11,341,85,5.97,1.86,7.49,3.4,10.89,1,2018
CK 87,CK-1-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,36.8,22.93144208,3.481,107.232,109.757,1.024,62.384,13.635,31.213,99.701,10.056,406.8275657,215,1909,2085,5384,7.6,26.99,41,4.76,19.66,325,88,6.11,2.76,24.8,3.18,27.98,1,2018
CK 88,CK-1-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,36.8,21.30965594,5.247,103.545,104.041,1.005,59.514,13.658,30.373,96.417,7.624,397.9616117,360,1916,2298,6004,7.2,29.84,35,4.84,23.1,344,87,6.31,2.57,11.66,3.29,14.95,1,2018
CK 89,CK-2-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,38,18.79194631,5.219,84.446,84.492,1.001,47.379,11.716,25.351,76.606,7.886,353.8409143,280,2024,1988,6350,7.8,29.15,64,5.02,17.86,427,82,7.38,2.89,53.61,3.26,56.87,2,2018
CK 90,CK-2-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,38,14.17085427,3.09,80.86,71.286,0.882,43.799,11.69,25.371,65.434,5.852,293.1408234,261,2025,2326,7089,7.7,32.81,64,5.12,17.26,440,94,7.6,2.58,61.42,2.87,64.29,2,2018
CK 91,CK-2-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,38,15.14124294,3.921,66.871,69.238,1.035,36.404,9.441,21.026,63.586,5.652,265.3075496,217,1879,1855,5234,7.7,25.62,32,3.92,14.84,425,97,6.67,2.57,17.81,3.26,21.07,2,2018
CK 92,CK-2-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,38,15.35982814,2.625,83.007,75.199,0.906,44.729,12.045,26.233,68.803,6.396,292.8965335,178,1777,1862,5673,7.9,26.61,25,4.2,13.29,436,93,6.64,2.53,10.44,3.17,13.61,2,2018
CK 93,CK-3-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,33.6,14.83146067,2.039,51.72,48.29,0.934,26.66,5.699,19.361,40.339,7.951,182.2766108,78,1441,1631,4971,6.7,24.67,30,2.08,5.72,402,97,5.05,2,42.89,3.2,46.09,3,2018
CK 94,CK-3-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,33.6,17.86903441,2.972,80.509,65.907,0.819,44.636,8.505,27.368,58.025,7.882,259.6609993,59,1797,1987,4879,7.7,25.18,30,2.97,6.34,419,100,5.47,1.93,10.65,3.1,13.75,3,2018
CK 95,CK-3-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,33.6,13.17016317,2.977,82.581,75.407,0.913,45.932,7.907,28.742,67.726,7.681,282.5687747,91,1598,1987,4856,7.5,24.86,32,3.05,7.51,410,92,5.18,1.93,14.16,3.4,17.56,3,2018
CK 96,CK-3-18,8/1/18,18-Aug,no,yes,no,yes,medium-high,no,33.6,16.84901532,2.312,61.741,50.242,0.814,32.765,6.816,22.16,46.253,3.989,211.5630102,277,1571,1909,5426,7.2,26.33,62,2.64,10.98,416,95,4.7,2.04,139.27,2.85,142.12,3,2018
KK 73,KK-1-18,8/2/18,18-Aug,no,yes,no,yes,medium-high,yes,14.4,10.5134474,2.75,46.244,52.928,1.145,25.571,6.511,14.162,46.223,6.705,190.0594601,113,854,1139,2704,7.2,15,25,2.71,23.71,138,88,2.48,1.05,3.5,2.5,6,1,2018
KK 74,KK-1-18,8/2/18,18-Aug,no,yes,no,yes,medium-high,yes,14.4,11.5023474,3.545,44.863,50.061,1.116,24.555,6.675,13.633,41.002,9.059,177.2409368,86,1029,1057,2574,7.6,13.35,25,3.12,24.56,138,87,2.57,0.99,3.49,2.7,6.19,1,2018
KK 75,KK-1-18,8/2/18,18-Aug,no,yes,no,yes,medium-high,yes,14.4,16.6459627,4.09,77.389,87.245,1.127,44.439,10.52,22.43,75.963,11.282,314.6393321,133,1041,1182,2810,7.6,14.88,31,3.12,30.38,140,89,2.45,1.2,3.54,2.69,6.23,1,2018
KK 76,KK-1-18,8/2/18,18-Aug,no,yes,no,yes,medium-high,yes,14.4,11.9244392,2.847,70.316,65.292,0.929,42.125,8.212,19.979,59.96,5.332,268.6278672,145,1028,996,2362,6.9,13.77,29,2.3,22.26,141,90,2.22,0.92,4.73,3.38,8.11,1,2018
KK 77,KK-2-18,8/2/18,18-Aug,no,yes,yes,no,none-low,no,12.8,7.52314815,2.106,56.751,59.621,1.051,34.459,6.784,15.508,55.142,4.479,253.8779917,238,1061,777,2365,7.1,12.11,28,1.73,27.52,146,115,2.63,0.85,6.89,1.92,8.81,2,2018
KK 78,KK-2-18,8/2/18,18-Aug,no,yes,yes,no,none-low,no,12.8,11.8110236,2.539,101.607,114.953,1.131,60.758,13.144,27.705,103.434,11.519,421.7620107,243,1373,1010,2942,7.1,14.92,28,2.24,31.03,167,92,3.5,1.24,7.76,3.19,10.95,2,2018
KK 79,KK-2-18,8/2/18,18-Aug,no,yes,yes,no,none-low,no,12.8,8.14663951,4.396,41.518,45.673,1.1,23.916,5.48,12.122,40.261,5.412,179.8712603,128,1055,947,3031,7.4,14.47,29,1.88,16.52,154,84,2.74,0.83,2.92,2.9,5.82,2,2018
KK 80,KK-2-18,8/2/18,18-Aug,no,yes,yes,no,none-low,no,12.8,6.52631579,1.135,40.347,36.913,0.915,23.147,5.691,11.509,33.691,3.222,157.458014,207,1044,807,2283,6.8,12.4,29,1.63,23.01,152,95,2.59,0.87,5.03,2.41,7.44,2,2018
KK 81,KK-3-18,8/2/18,18-Aug,no,yes,no,yes,medium-high,yes,15.2,8.1372549,2.743,50.589,58.097,1.148,28.441,6.9,15.248,46.947,11.15,212.6525956,206,1428,1102,3730,8.3,16.94,23,3.01,18.91,235,85,3.22,0.99,2.19,2.48,4.67,3,2018
KK 82,KK-3-18,8/2/18,18-Aug,no,yes,no,yes,medium-high,yes,15.2,9.07079646,2.191,39.155,47.822,1.221,22.377,5.31,11.468,40.291,7.531,172.0530072,184,1280,1042,3268,8.1,14.95,20,2.87,18,227,86,3.1,0.9,2.39,2.14,4.53,3,2018
KK 83,KK-3-18,8/2/18,18-Aug,no,yes,no,yes,medium-high,yes,15.2,7.35632184,3.285,49.243,59.427,1.207,28.501,6.567,14.175,50.275,9.152,211.0884354,217,1522,1058,3218,8.2,15.6,27,3.07,17.4,230,91,3.25,0.92,2.8,2.88,5.68,3,2018
KK 84,KK-3-18,8/2/18,18-Aug,no,yes,no,yes,medium-high,yes,15.2,7.12589074,3.844,72.332,100.261,1.386,43.992,7.945,20.395,84.013,16.248,346.3924766,393,1809,1211,3909,8.2,18.73,27,3.19,24.38,230,100,3.25,1.1,1.56,2.49,4.05,3,2018
JA 109,JA-1-18,8/3/18,18-Aug,no,no,no,yes,medium-high,no,8.4,0.952380952,1.663,15.832,11.237,0.71,8.315,2.372,5.145,10.029,1.208,56.86890771,150,1084,860,2813,8.3,13.2,13,4.01,17.22,110,102,2.59,0.41,3.81,3.46,7.27,1,2018
JA 110,JA-1-18,8/3/18,18-Aug,no,no,no,yes,medium-high,no,8.4,1.083423619,0.523,20.934,17.081,0.816,11.21,3.193,6.531,15.135,1.946,73.20415184,100,1053,913,6857,8.5,23.09,15,4.1,19.56,102,80,3.23,0.47,4.86,5.39,10.25,1,2018
